caero,eta,mach,var,a_lo,a_hi,cn_a,a0,cm_a,cm0,xref,cl_a,cl0
1000,0.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25,,
1000,1.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25,,
1000,0.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25,,
1000,1.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25,,
2000,0.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25,,
2000,1.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25,,
2000,0.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25,,
2000,1.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25,,
3000,0.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25,,
3000,1.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25,,
4000,0.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25,,
4000,1.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25,,
5000,0.0,0.0,BETA,-6,6,0.090,0.0,-0.001,0.0,0.25,,
5000,1.0,0.0,BETA,-6,6,0.090,0.0,-0.001,0.0,0.25,,
0,0.0,0.0,TOTAL,-4,8,0.368,0.00100,-19.920,-0.51000,0.25,-0.051,0.00000
