caero,eta,mach,var,a_lo,a_hi,cn_a,a0,cm_a,cm0,xref
1000,0.00,0.0,ALPHA,-4.0,8.0,0.08749,-2.500,-0.0020,-0.0550,0.25
1000,0.30,0.0,ALPHA,-4.0,8.0,0.09104,-1.600,-0.0020,-0.0520,0.25
1000,0.60,0.0,ALPHA,-4.0,8.0,0.08894,-0.700,-0.0020,-0.0490,0.25
1000,0.80,0.0,ALPHA,-4.0,8.0,0.07923,-0.100,-0.0020,-0.0470,0.25
1000,0.90,0.0,ALPHA,-4.0,8.0,0.06648,0.200,-0.0020,-0.0460,0.25
1000,1.00,0.0,ALPHA,-4.0,8.0,0.04809,0.500,-0.0020,-0.0450,0.25
1000,0.00,0.0,ALPHA,8.0,14.0,0.06125,-7.000,-0.0040,-0.0450,0.25
1000,0.30,0.0,ALPHA,8.0,14.0,0.06373,-5.714,-0.0040,-0.0420,0.25
1000,0.60,0.0,ALPHA,8.0,14.0,0.06226,-4.429,-0.0040,-0.0390,0.25
1000,0.80,0.0,ALPHA,8.0,14.0,0.05546,-3.571,-0.0040,-0.0370,0.25
1000,0.90,0.0,ALPHA,8.0,14.0,0.04654,-3.143,-0.0040,-0.0360,0.25
1000,1.00,0.0,ALPHA,8.0,14.0,0.03366,-2.714,-0.0040,-0.0350,0.25
2000,0.00,0.0,ALPHA,-4.0,8.0,0.08749,-2.500,-0.0020,-0.0550,0.25
2000,0.30,0.0,ALPHA,-4.0,8.0,0.09104,-1.600,-0.0020,-0.0520,0.25
2000,0.60,0.0,ALPHA,-4.0,8.0,0.08894,-0.700,-0.0020,-0.0490,0.25
2000,0.80,0.0,ALPHA,-4.0,8.0,0.07923,-0.100,-0.0020,-0.0470,0.25
2000,0.90,0.0,ALPHA,-4.0,8.0,0.06648,0.200,-0.0020,-0.0460,0.25
2000,1.00,0.0,ALPHA,-4.0,8.0,0.04809,0.500,-0.0020,-0.0450,0.25
2000,0.00,0.0,ALPHA,8.0,14.0,0.06125,-7.000,-0.0040,-0.0450,0.25
2000,0.30,0.0,ALPHA,8.0,14.0,0.06373,-5.714,-0.0040,-0.0420,0.25
2000,0.60,0.0,ALPHA,8.0,14.0,0.06226,-4.429,-0.0040,-0.0390,0.25
2000,0.80,0.0,ALPHA,8.0,14.0,0.05546,-3.571,-0.0040,-0.0370,0.25
2000,0.90,0.0,ALPHA,8.0,14.0,0.04654,-3.143,-0.0040,-0.0360,0.25
2000,1.00,0.0,ALPHA,8.0,14.0,0.03366,-2.714,-0.0040,-0.0350,0.25
3000,0.00,0.0,ALPHA,-6.0,6.0,0.04426,0.000,-0.0010,0.0000,0.25
3000,0.30,0.0,ALPHA,-6.0,6.0,0.04579,0.000,-0.0010,0.0000,0.25
3000,0.60,0.0,ALPHA,-6.0,6.0,0.04415,0.000,-0.0010,0.0000,0.25
3000,0.80,0.0,ALPHA,-6.0,6.0,0.03841,0.000,-0.0010,0.0000,0.25
3000,0.90,0.0,ALPHA,-6.0,6.0,0.03128,0.000,-0.0010,0.0000,0.25
3000,1.00,0.0,ALPHA,-6.0,6.0,0.02842,0.000,-0.0010,0.0000,0.25
4000,0.00,0.0,ALPHA,-6.0,6.0,0.04426,0.000,-0.0010,0.0000,0.25
4000,0.30,0.0,ALPHA,-6.0,6.0,0.04579,0.000,-0.0010,0.0000,0.25
4000,0.60,0.0,ALPHA,-6.0,6.0,0.04415,0.000,-0.0010,0.0000,0.25
4000,0.80,0.0,ALPHA,-6.0,6.0,0.03841,0.000,-0.0010,0.0000,0.25
4000,0.90,0.0,ALPHA,-6.0,6.0,0.03128,0.000,-0.0010,0.0000,0.25
4000,1.00,0.0,ALPHA,-6.0,6.0,0.02842,0.000,-0.0010,0.0000,0.25
5000,0.00,0.0,BETA,-6.0,6.0,0.03044,0.000,-0.0010,0.0000,0.25
5000,0.30,0.0,BETA,-6.0,6.0,0.04200,0.000,-0.0010,0.0000,0.25
5000,0.60,0.0,BETA,-6.0,6.0,0.04720,0.000,-0.0010,0.0000,0.25
5000,0.80,0.0,BETA,-6.0,6.0,0.04359,0.000,-0.0010,0.0000,0.25
5000,0.90,0.0,BETA,-6.0,6.0,0.03848,0.000,-0.0010,0.0000,0.25
5000,1.00,0.0,BETA,-6.0,6.0,0.03763,0.000,-0.0010,0.0000,0.25
