caero,eta,mach,var,a_lo,a_hi,cn_a,a0,cm_a,cm0,xref
100,0.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25
100,1.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25
100,0.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25
100,1.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25
150,0.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25
150,1.0,0.0,ALPHA,-4,8,0.105,-2.5,-0.002,-0.065,0.25
150,0.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25
150,1.0,0.0,ALPHA,8,14,0.070,-1.0,-0.004,-0.055,0.25
200,0.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25
200,1.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25
250,0.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25
250,1.0,0.0,ALPHA,-6,6,0.095,0.0,-0.001,0.0,0.25
300,0.0,0.0,BETA,-6,6,0.090,0.0,-0.001,0.0,0.25
300,1.0,0.0,BETA,-6,6,0.090,0.0,-0.001,0.0,0.25
